question,qid,aliases,pred,correct
"In 1487, Portuguese navigator Bartholomew Diaz was the first European to sail past which landmark?",qw_4904,kaap die goeie hoop|cape hope|cape point nature reserve|cape of good hope|cape of good hope landmark|cape of storms|kaap de goede hoop|cabo de buena esperanza|cape of good hope south africa|cabo da boa esperança|african cape|south african cape,The southern tip of Africa (Cape Agulhas),False
"""Who composed the """"Christmas Oratorio"""" and """"The Coffee Cantata""""?""",odql_15054,j bach|bach j s|johann sebatian bach|johnann sebastian bach|johann sebastian bach biography|j s back|bach|johannsebastianbach|johann s bach|johann shebastian bach|johann sebastian bach|j s bach|john sebastian bach|story of bach|juan sebastián bach|johan sebastian bach|vocal music bach|js bach|johannes sebastian bach|bach johann sebastian|j s b|johann sebsatian|bach s,"Johann Sebastian Bach composed the ""Christmas Oratorio"" and ""The Coffee Cantata.""",True
"""Which """"Bond girl"""" met Ringo Starr when they starred in the 1981 film """"Caveman"""", and later married him?""",qw_9502,barbara bach,"""Barbara Bach (1981's 'Caveman') married Ringo Starr.""",True
"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",odql_333,deigo garcia|diego garcia tracking station|fjdg|diego garcia|anniversary island,Diego Garcia,True
"""How many adjectives are there in the sentence """"Jack ran down the path.""""?""",qw_7750,none|none disambiguation,"There are no adjectives in the sentence ""Jack ran down the path.""",False
"Which expression is associated with the sinking of the HMS Birkenhead at Gansbaai near Cape Town, South Africa, in Febuary 1852?",qw_7452,women and children first saying|women and children first protocol|women and children first|women and children|woman and children first|birkenhead drill|22women and children first 22|birkenhead tradition|birkenhead protocol|children and women,"""Women and children first.""",True
What is the offspring of a male lion and a tigress called?,qg_3088,panthera tigris x panthera leo|ligers|ligar|liger|lyger|ligress|hercules liger,Lion-tigress hybrid (rarely occurs in nature) or Ligonce (mythological term),False
Which metal is added to steel to produce stainless steel?,odql_12514,chromium iii|element 24|chronium|dichromium|chromium compounds|chromium|chromium element|cromium,Chromium is added to produce stainless steel.,True
What was Hiram Hackenbacker's nickname in Thunderbirds?,bb_7983,brains disambiguation|brains,"""The Hood"" or ""Hooded Hawk"" was Hiram Hackenbacker's nick",False
Which classical author wrote the Anabasis?,sfq_15401,xenophontas|xenophon of thebes|xenofon|xenophon|xenophon of athens|constitution of lacedemonians|ξενοφών|attic muse|ξενοφῶν|constitution of lacedaemon xenophon|xénophon|constitution of lacedaemonians,Xenophon wrote the Anabasis.,True
Scatology is the scientific study of what?,qb_1762,💩|tird|faecal matter|poopie|dung hill|dog shit|fieces|dunghill|feaces|feces|dog droppings|excrement|whopee|fecal matter|dookie waste|fecal pellet|terd|dog doodoo|dokey|fecies|turd|fecal material|excrements|turds|cat poo|dooker|dropping|dog feces|dogshit|faecal pellet|bird droppings|animal shit|droppings|doo doo|body waste|doodoo|faecal debris|fecal|poopoo waste|dog doo|animal waste|fece|animal dump|fæces|dog poop|feculent|dog scat|faeces|execrement,Scatology is the scientific study of excrement and defecation.,True
"""What name is given to the maxim """"employees tend to rise to their level of incompetence.""""?""",sfq_15185,peter principle|promote to fail|managing upward|tabulology|hierarchiology|peter s principle|peter principal,"The name given to this maxim is ""Peter Principle.""",True
Whom did Malcolm III kill in battle in 1057 to become King of Scotland?,sfq_15281,macbeth act ii scene iv|battle of dunsinane|macbeth act iii scene vi|macbeth act i scene v|macbeth act iii scene iii|macbeth act v scene iii|macbeth act i scene iv|macbeth act iv scene i|macbeth act iv scene ii|macbeth act iii scene v|macbeth act v scene iv|macbeth act iii scene i|macbeth acts|lennox character|macbeth act v scene i|macbeth act iii scene iv|macbeth traitor|macbethian|macbeth act ii scene i|macbeth|macbeth act i scene vi|fair is foul and foul is fair|macbeth act i scene iii|mac beth|macbeth act v scene vi|shakespeare s macbeth|macbeth act v scene vii|macbeth scottish play|macbeth act iii scene ii|macbeth act v scene viii|macbeth act ii scene iii|macbeth act v scene ii|macbeth act i scene i|macbeth act i scene ii|thain of glamis|macbeth act i scene vii|thegn of glamis|macbeth act i|macbeth act iv scene iii|tragedy of macbeth|macbeth act ii scene ii|prophecy in macbeth|macbeth play|macbeth act v scene v,Malcolm III killed Macbeth in battle to become King of Scotland.,True
Name the magician who first introduced us to Basil Brush.,qz_4127,nixon david|david nixon disambiguation|david nixon,"Basil Brush was introduced on British television in the 1960s, but no specific magician is",False
Which African country changed its capital city from Zomba to Lilongwe in January 1975?,qb_8074,malawi|malawian language|malaŵi|malawi africa|culture of malawi|republic of malaŵi|mala 3fi|republic of malawi|warm heart of africa|nyassaland|malawians|malawian|religion in malawi|republic malawi|administrative divisions of malawi|iso 3166 1 mw,Malawi,True
All matter in the Universe was said to be created by the ‘Big….what’ nearly 14 billion years ago?,qb_3535,bang album|bang|bang single|bang song|bangs|bang disambiguation,Big Bang.,True
What is the Spanish word for a 'Bullfight'?,odql_4228,corrida|corrida disambiguation,Corrida de toros. (Bullfighting event),True
"Situated in the West Pennine Moors, what are Turton and Entwistle, Jumbles and Wayoh",odql_13877,full pool|bankside reservoirs|manmade lake|dam reservoir|water reservoir|bankside reservoir|réservoir|resevoir|reservoir|reservoir dam|storage reservoir|artificial loch|reservoirs|reservoir water|headpond|artificial lakes|storage pond|service reservoir|artificial lake|man made lake,Reservoirs in West Pennine Moors.,True
"What can be a medieval weapon, a spice, or a Jedi knight (or a pepper spray)",qg_3411,mace|mace disambiguation|maces,Medieval weapon: Longsword,False
What modern popular pet population originated entirely from single female found in Syria in 1930?,bb_4718,hampsters|horcsog|about hamsters|species of hamsters|hamsters|hampster|hamster breeding|proliferative ileitis|eyeless whites|hoercsoeg|hamster|cricetinae|short haired hamster|hamster breeds|🐹|hörcsög,The Ragdoll cat breed.,False
"What was the surname of the French explorer who discovered the area where Montreal is now situated, on this day in 1953?",wh_162,petite hermine|jacques cartier|jaques cartier,The surname of the French explorer who discovered Montreal in 1608 is Jacques Cartier. (However,True
What is the title of the most famous painting by Franz Hals?,qw_4143,laughing cavalier,"The ""The Laughing Cavalier"" or ""The Merry Cavalier"" is a famous painting by",True
Who was the youngest brother in the Beach Boys?,tc_888,carl wilson discography|carl dean wilson|carl wilson|wilson carl dean|wilson carl,"Carl Wilson. He was born February 29, 1946. (Note: This answer assumes you",True
Which Italian fashion designer was shot dead on the steps of his Miami mansion in 1997?,qz_3431,gianni versace|giani versaci,Gianni Versace,True
Who has presented BBC TV programmes called his 'Toy Stories' and `Man Lab'?,sfq_18437,captain slow|james may|james daniel may,Steve Backshall,False
What is the real name of 'Buster Bloodvessel' lead singer of pop group 'Bad Manners'?,qf_1512,douglas trendle,Buster Bloodvessel (given name: Douglas Trendle),True
Who was the narrator in the novel `Moby Dick'?,sfq_16215,ishmail|ishmael|yismael|naphish|isma el|kedemah|ishmeelites|ismaeel|is mail|mishma|yishmā ēl|יִשְׁמָעֵאל|ishmeelite|yishmoel|ismail|yishma el|yishmoeil|i̇smail|إسماعيل|yishmael|islamic views on ishmael,"Ishmael, the narrator in ""Moby Dick"" by Herman Melville.",True
What is the ‘lead’ in pencils made from?,qb_4353,natural graphite|highly ordered pyrolytic graphite|graphite electrodes|plumbago mineral|graphite|graphitic|flake graphite|hopg|highly oriented pyrolytic graphite|black lead,Graphite or graphite mixture.,True
Which Christian festival day is held 40 days after the resurrection of Christ ?,wh_2210,pentekoste|whitsun tide|whitsontide|whit week|whitsonday|day of pentecost|feast of pentecost|white sunday holy day|pentecost|descent of holy spirit|kneeling prayer|pentacost|πεντηκοστή|orthodox pentecost|decent of holy spirit|fiftieth day|whitsun week|qhythsontyd|pentekostē|pentecost sunday|whit sunday|60id ul 60ansara,"The Christian festival day held 40 days after the resurrection of Christ is called ""Ascension Thursday"" or",False
Which German word meaning 'armour' was applied to certain army divisions in World War II ?,wh_3390,panzerkampfwagen|panzers|nazi tank|panzerwagen|panzer tank|pzkw|kampfpanzer|panzer|pzkpfw,Panzer: Armor or tank divisions in World War II German military.,True
"Who wrote the political treatise ‘The Prince’, published in 1532?",qb_3878,macavelli|makiavelo|machavelli|machevelli|niccolo di bernardo dei machiavelli|niccol 5cxc3 5cxb2 machiavelli|nicole machiavelli|marietta corsini|macchiavelian|machievelli|machiavelli niccolo|niccol machiavelli|machavellian|niccolò macchiavelli|macavhelli|niccolo macchiavelli|niccolò machiavelli|nicoli machiavelli|nioccolo machiavelli|machiavelli niccolò|machiavellia|niccolo machiavelli|macchiavelli|machiaveli|nicolò machiavelli|nicholas machiavell|machiavelli|machiavelli s|machiavelians|macchiavelianism|machiavilli|machievel|machiavelian|niccolò di bernardo dei machiavelli|niccoló macchiavelli|machiavellian test|machaevelli|nicolo machiavelli|nicholas machiavelli|macchiaveli|fawce|nicoló machiavelli|machiavelliism|nicollo machiavelli,Niccolò Machiavelli wrote 'The Prince'.,True
"Which river originates in the Taurus Mountains, and flows through Syria and Iraq?",qz_3708,prāṯ|froṯ|euphrátēs|nahr ul furāt|نهر الفرات|euphrates r|euphrat|yeṗrat|ευφράτης|פרת|եփրատ|euphrates|الفرات|firat river|river euphrates|euprates|ܦܪܬ|eufrat|fırat river|pu rat tu|euphrates river|euphratean,The Euphrates River.,True
What type of sausage is usually sold in a flat circular coil?,qw_15458,cumberland county england|cumberlandshire|cumberland england|cumberland ward|wythburn|cumberland county historic|cumberland,"The answer is: ""Polish kielbasa"" or ""Bockwurst"". Both are commonly sold in",False
The SS Titanic sank in which year?,qf_2298,one thousand nine hundred and twelve|1912,The SS Titanic sank in 1912.,True
The 'Yid Army' are/were a gang of football hooligans who supported which London club?,odql_1084,hotspur f c|thfc|coys|tottenham hostpur|hotspur disambiguation|lilywhites|spurs fc|spurs manager|tottenham hotspur fc|tottenham hotspur football club|tottenham hotspurs fc|tottenham hotspur foundation|yid army|hotspur|tottenham hotspurs f c|audere est facere|tottenham hotspur f c|tottenham hotspurs|tottenham fc|hotspur football club|hotspurs|tottenham hotspur|fc tottenham,Millwall Football Club,False
How many ‘Triangles’ are there on the logo of car manufacturer BMW?,qb_8254,four|4,There are three triangles in the BMW logo.,False
"Which anti-conformist movement in 1950's fashion began in New York's West Village and was characterised by black slim trousers , thick sweaters and untucked shirts ?",wh_3295,beatniks|beatnick|beatnik,"The anti-conformist movement you're referring to is the ""Beat Generation"" or ""Beat Culture",False
Where was the American venue of the Live Aid concert?,tc_2208,birthplace of america|philadelpia pa|philadelphia pennsylvania u s|un locode usphl|philadephia pennsylvania|government of philadelphia|city and county of philadelphia pennsylvania|philidelphia|philadelphia commuter rail|philedelphia|philladelphia|philadelphia pa|philadelpia pennsylvania|philadelphia city|philadelphia|philadelphia pennsylvania us|philadelphia pennsylvania|political families of philadelphia|philadelphia regional rail|list of nicknames for philadelphia|philadelphi|phila|philadelphia u s|philadelphia suburban rail|cradle of liberty|philidalphia|philadelphia usa|city that loves you back|philadelphia city pennsylvania|city of brotherly love|wiccacoa|philadelphia united states|philadelphia philadelphia county pennsylvania|philadelphia city controller|quaker city|city of philadelphia|philadelphia pennsylvania usa,"Philadelphia, Pennsylvania",True
